"family_original","apno","vo_list","vu_list","ans_list"
"162500166","CN201721313932.7","[4500]","[2500]","[d57c3f29-4027-44a8-b580-1eed0cbb8ef6, ac5c538d-e55e-4735-9320-8d2f2b6e8914, 8d839b9f-81ba-4ee8-abf3-1576273cfdc2]"
"176656931","CN202022184173.7","[4400]","[2500]","[ac5c538d-e55e-4735-9320-8d2f2b6e8914, 8d839b9f-81ba-4ee8-abf3-1576273cfdc2, d57c3f29-4027-44a8-b580-1eed0cbb8ef6]"
"165679572","CN201821324195.5","[4400]","[2400]","[8d839b9f-81ba-4ee8-abf3-1576273cfdc2, ac5c538d-e55e-4735-9320-8d2f2b6e8914, d57c3f29-4027-44a8-b580-1eed0cbb8ef6]"
"161268217","CN201710951932.8","[181800]","[144100]","[d57c3f29-4027-44a8-b580-1eed0cbb8ef6, 8d839b9f-81ba-4ee8-abf3-1576273cfdc2, e31edac2-cfe8-4b80-8a11-e3ca1425a2fd]"
"167114828","CN201821327481.7","[4500]","[2600]","[8d839b9f-81ba-4ee8-abf3-1576273cfdc2, ac5c538d-e55e-4735-9320-8d2f2b6e8914, d57c3f29-4027-44a8-b580-1eed0cbb8ef6]"
"158981904","CN201621086173.0","[4500]","[2500]","[d57c3f29-4027-44a8-b580-1eed0cbb8ef6, 8d839b9f-81ba-4ee8-abf3-1576273cfdc2, e31edac2-cfe8-4b80-8a11-e3ca1425a2fd]"
"180549263","CN202122495293.3","[4400]","[2500]","[ac5c538d-e55e-4735-9320-8d2f2b6e8914, d57c3f29-4027-44a8-b580-1eed0cbb8ef6]"
"158791143","CN201621264575.5","[4500]","[2500]","[8d839b9f-81ba-4ee8-abf3-1576273cfdc2, d57c3f29-4027-44a8-b580-1eed0cbb8ef6, e31edac2-cfe8-4b80-8a11-e3ca1425a2fd]"
"158169353","CN201610849582.X","[48600]","[38800]","[d57c3f29-4027-44a8-b580-1eed0cbb8ef6, ac5c538d-e55e-4735-9320-8d2f2b6e8914, 8d839b9f-81ba-4ee8-abf3-1576273cfdc2]"
"162500571","CN201721325097.9","[4400]","[2500]","[8d839b9f-81ba-4ee8-abf3-1576273cfdc2, d57c3f29-4027-44a8-b580-1eed0cbb8ef6, e31edac2-cfe8-4b80-8a11-e3ca1425a2fd]"
"169567329","CN201921222929.3","[4300]","[2400]","[8d839b9f-81ba-4ee8-abf3-1576273cfdc2, d57c3f29-4027-44a8-b580-1eed0cbb8ef6, ac5c538d-e55e-4735-9320-8d2f2b6e8914]"
"153317173","CN201510116477.0","[262700]","[199000]","[d57c3f29-4027-44a8-b580-1eed0cbb8ef6, ac5c538d-e55e-4735-9320-8d2f2b6e8914, 8d839b9f-81ba-4ee8-abf3-1576273cfdc2]"
"168945975","CN201821324194.0","[4300]","[2400]","[d57c3f29-4027-44a8-b580-1eed0cbb8ef6, 8d839b9f-81ba-4ee8-abf3-1576273cfdc2, ac5c538d-e55e-4735-9320-8d2f2b6e8914]"
"167403709","CN201821327303.4","[4500]","[2500]","[d57c3f29-4027-44a8-b580-1eed0cbb8ef6, e31edac2-cfe8-4b80-8a11-e3ca1425a2fd, 8d839b9f-81ba-4ee8-abf3-1576273cfdc2]"
"161647932","CN201710951931.3","[158300]","[123100]","[8d839b9f-81ba-4ee8-abf3-1576273cfdc2, e31edac2-cfe8-4b80-8a11-e3ca1425a2fd, d57c3f29-4027-44a8-b580-1eed0cbb8ef6]"
