"family_original","apno","vo_list","vu_list","ans_list"
"181019427","CN202111654465.5","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"178386349","CN202110948029.2","[4500]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"177819113","CN202111000470.4","[4600]","[2700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"172186014","CN202010436308.6","[4700]","[2800]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"161055685","CN201710765288.5","[55200]","[43700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"178310716","CN202111168325.7","[4600]","[2700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"172185919","CN202010436307.1","[4700]","[2700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"156917797","CN201610247620.4","[55600]","[44400]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"170313514","CN201911254914.X","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"173360151","CN202010840874.3","[4500]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"172947822","CN202010735587.6","[108000]","[86800]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"180299977","CN202111334331.5","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"157099412","CN201610311380.X","[143300]","[111700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"172649341","CN202010547677.2","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"177797931","CN202110985000.1","[4600]","[2700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"163128391","CN201810143250.9","[85300]","[67500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"163128437","CN201810145190.4","[58900]","[49700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"177229660","CN202110467668.7","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"180144647","CN202111355570.9","[4500]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"178794852","CN202111063288.3","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"179191583","CN202111183533.4","[4500]","[2600]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"172676757","CN202010614460.9","[4600]","[2700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"179195172","CN202111413734.9","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"179190360","CN202111170628.2","[4500]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"172947684","CN202010731494.6","[4600]","[2700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"179248265","CN202111404561.4","[4400]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"176927875","CN202110722582.4","[4700]","[2700]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
"180752611","CN202111452001.6","[4500]","[2500]","[6c576d44-fe6b-11ec-92b3-aa02190e6163]"
